"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta centre-high",2,202123,1,333,210000,104860,2895,0.289474296726763,333,184,210000,190027.173913043,9.65204760713552,TRUE,NA
"Beta centre-high",2,202123,1,800,210000,104860,2895,0.39246240174479,800,416,210000,201923.076923077,6.73220828791605,TRUE,NA
"Beta centre-high",2,202123,2,333,210000,102220,2767,0.292108077687806,333,149,210000,234664.429530201,10.2921470492403,TRUE,NA
"Beta centre-high",2,202123,2,800,210000,102220,2767,0.396806926094204,800,418,210000,200956.937799043,6.72366060040962,TRUE,NA
"Beta centre-high",2,202123,3,333,210000,106601,2884,0.286462759574823,333,151,210000,231556.291390728,10.2488712786515,TRUE,NA
"Beta centre-high",2,202123,3,800,210000,106601,2884,0.396437810272491,800,407,210000,206388.206388206,6.77157230364179,TRUE,NA
"Beta centre-high",2,202123,4,333,210000,106367,2775,0.293738588190639,333,180,210000,194250,9.71440952806755,TRUE,NA
"Beta centre-high",2,202123,4,800,210000,106367,2775,0.393598488634318,800,426,210000,197183.098591549,6.69016780784906,TRUE,NA
"Beta centre-high",2,202123,5,333,210000,106063,2757,0.289781853584253,333,157,210000,222707.006369427,10.1246463858931,TRUE,NA
"Beta centre-high",2,202123,5,800,210000,106063,2757,0.393659007098085,800,362,210000,232044.198895028,6.9934595362874,TRUE,NA
"Beta centre-high",2,202123,6,333,210000,106262,2864,0.29288591940279,333,152,210000,230032.894736842,10.2275935883112,TRUE,NA
"Beta centre-high",2,202123,6,800,210000,106262,2864,0.390659850748625,800,390,210000,215384.615384615,6.85019653254194,TRUE,NA
"Beta centre-high",2,202123,7,333,210000,108134,2881,0.288704069581717,333,161,210000,217173.913043478,10.0461932176168,TRUE,NA
"Beta centre-high",2,202123,7,800,210000,108134,2881,0.392433830829206,800,401,210000,209476.309226933,6.79866330639878,TRUE,NA
"Beta centre-high",2,202123,8,333,210000,102988,2865,0.287307578976621,333,150,210000,233100,10.2703877039828,TRUE,NA
"Beta centre-high",2,202123,8,800,210000,102988,2865,0.396889693933497,800,392,210000,214285.714285714,6.84064112310072,TRUE,NA
"Beta centre-high",2,202123,9,333,210000,107161,2862,0.291747334962024,333,152,210000,230032.894736842,10.2275935883112,TRUE,NA
"Beta centre-high",2,202123,9,800,210000,107161,2862,0.39619901235919,800,384,210000,218750,6.87937741079022,TRUE,NA
"Beta centre-high",2,202123,10,333,210000,100390,2881,0.291038306621689,333,147,210000,237857.142857143,10.3364117472074,TRUE,NA
"Beta centre-high",2,202123,10,800,210000,100390,2881,0.392156100362523,800,354,210000,237288.13559322,7.03795101318882,TRUE,NA
"Beta centre-high",2,202123,11,333,210000,103847,2988,0.289733899045977,333,157,210000,222707.006369427,10.1246463858931,TRUE,NA
"Beta centre-high",2,202123,11,800,210000,103847,2988,0.387594449119375,800,385,210000,218181.818181818,6.87445946001938,TRUE,NA
"Beta centre-high",2,202123,12,333,210000,106519,2834,0.292430999614999,333,155,210000,225580.64516129,10.1651525298793,TRUE,NA
"Beta centre-high",2,202123,12,800,210000,106519,2834,0.391543323270505,800,394,210000,213197.969543147,6.83116955969639,TRUE,NA
"Beta centre-high",2,202123,13,333,210000,102209,2862,0.289105271630987,333,150,210000,233100,10.2703877039828,TRUE,NA
"Beta centre-high",2,202123,13,800,210000,102209,2862,0.391627576521592,800,386,210000,217616.580310881,6.86956349739337,TRUE,NA
"Beta centre-high",2,202123,14,333,210000,107200,2809,0.294733181904694,333,148,210000,236250,10.3141536003213,TRUE,NA
"Beta centre-high",2,202123,14,800,210000,107200,2809,0.392494860620629,800,374,210000,224598.930481283,6.92980048831585,TRUE,NA
