"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta left-high",5,403123,1,333,525000,107337,25950,0.0127205499150156,333,75,525000,466200,13.1205003813417,TRUE,NA
"Beta left-high",5,403123,1,800,525000,107337,25950,0.0230285521731666,800,172,525000,488372.093023256,8.91199763112317,TRUE,NA
"Beta left-high",5,403123,2,333,525000,106729,26263,0.0130515882400188,333,78,525000,448269.230769231,12.9235956733636,TRUE,NA
"Beta left-high",5,403123,2,800,525000,106729,26263,0.024580714632665,800,169,525000,497041.420118343,8.96971373715795,TRUE,NA
"Beta left-high",5,403123,3,333,525000,108745,26226,0.0133555178083029,333,68,525000,514191.176470588,13.633525606125,TRUE,NA
"Beta left-high",5,403123,3,800,525000,108745,26226,0.0240268252572101,800,173,525000,485549.132947977,8.89312291051442,TRUE,NA
"Beta left-high",5,403123,4,333,525000,101195,26312,0.0129736466288791,333,56,525000,624375,14.7440030349591,TRUE,NA
"Beta left-high",5,403123,4,800,525000,101195,26312,0.0241606281532658,800,141,525000,595744.680851064,9.60240348605634,TRUE,NA
"Beta left-high",5,403123,5,333,525000,106151,26262,0.0125118207181193,333,68,525000,514191.176470588,13.633525606125,TRUE,NA
"Beta left-high",5,403123,5,800,525000,106151,26262,0.023317510072427,800,161,525000,521739.130434783,9.13213929677269,TRUE,NA
"Beta left-high",5,403123,6,333,525000,109932,26022,0.0127153165598217,333,74,525000,472500,13.1889852550751,TRUE,NA
"Beta left-high",5,403123,6,800,525000,109932,26022,0.0232240912092423,800,167,525000,502994.011976048,9.00912905970284,TRUE,NA
"Beta left-high",5,403123,7,333,525000,105476,26504,0.0129703006863704,333,69,525000,506739.130434783,13.5551367811372,TRUE,NA
"Beta left-high",5,403123,7,800,525000,105476,26504,0.0235276695978627,800,148,525000,567567.567567568,9.42611979878208,TRUE,NA
"Beta left-high",5,403123,8,333,525000,103886,26133,0.0130631958988923,333,70,525000,499500,13.478551100938,TRUE,NA
"Beta left-high",5,403123,8,800,525000,103886,26133,0.0233111389372217,800,167,525000,502994.011976048,9.00912905970284,TRUE,NA
"Beta left-high",5,403123,9,333,525000,105495,26112,0.0139642858973331,333,80,525000,437062.5,12.7989920276346,TRUE,NA
"Beta left-high",5,403123,9,800,525000,105495,26112,0.024712657484932,800,185,525000,454054.054054054,8.67975926782984,TRUE,NA
"Beta left-high",5,403123,10,333,525000,101681,26168,0.0125879088585673,333,55,525000,635727.272727273,14.853699160197,TRUE,NA
"Beta left-high",5,403123,10,800,525000,101681,26168,0.0229359219389621,800,146,525000,575342.465753425,9.47508931769804,TRUE,NA
"Beta left-high",5,403123,11,333,525000,105062,26157,0.0121427014123802,333,69,525000,506739.130434783,13.5551367811372,TRUE,NA
"Beta left-high",5,403123,11,800,525000,105062,26157,0.0218533021010599,800,145,525000,579310.344827586,9.49998337550142,TRUE,NA
"Beta left-high",5,403123,12,333,525000,103028,26335,0.0133690478341328,333,72,525000,485625,13.3305320903684,TRUE,NA
"Beta left-high",5,403123,12,800,525000,103028,26335,0.0239075267804693,800,165,525000,509090.909090909,9.04932193589579,TRUE,NA
"Beta left-high",5,403123,13,333,525000,101702,26135,0.0126193215206764,333,64,525000,546328.125,13.9665384732028,TRUE,NA
"Beta left-high",5,403123,13,800,525000,101702,26135,0.0231137071614139,800,164,525000,512195.12195122,9.06971756172824,TRUE,NA
"Beta left-high",5,403123,14,333,525000,106803,26371,0.0121475414478612,333,46,525000,760108.695652174,16.0064206264636,TRUE,NA
"Beta left-high",5,403123,14,800,525000,106803,26371,0.0229410923041531,800,139,525000,604316.54676259,9.65539294573709,TRUE,NA
"Beta left-high",5,403123,15,333,525000,102090,26325,0.0130064733396246,333,66,525000,529772.727272727,13.7959903029324,TRUE,NA
"Beta left-high",5,403123,15,800,525000,102090,26325,0.0231195774938561,800,154,525000,545454.545454545,9.28543116007485,TRUE,NA
"Beta left-high",5,403123,16,333,525000,102927,26386,0.0131429871674826,333,79,525000,442594.936708861,12.860656103188,TRUE,NA
"Beta left-high",5,403123,16,800,525000,102927,26386,0.0233865362329961,800,174,525000,482758.620689655,8.87442568627627,TRUE,NA
"Beta left-high",5,403123,17,333,525000,105854,26490,0.0123067941804242,333,68,525000,514191.176470588,13.633525606125,TRUE,NA
"Beta left-high",5,403123,17,800,525000,105854,26490,0.0234009085532033,800,158,525000,531645.569620253,9.19648335691042,TRUE,NA
"Beta left-high",5,403123,18,333,525000,98688,26371,0.012801385445346,333,61,525000,573196.721311475,14.2389825181774,TRUE,NA
"Beta left-high",5,403123,18,800,525000,98688,26371,0.0231230526679566,800,139,525000,604316.54676259,9.65539294573709,TRUE,NA
"Beta left-high",5,403123,19,333,525000,104060,26300,0.0127197005485658,333,79,525000,442594.936708861,12.860656103188,TRUE,NA
"Beta left-high",5,403123,19,800,525000,104060,26300,0.0234353477574864,800,155,525000,541935.483870968,9.26284491534227,TRUE,NA
"Beta left-high",5,403123,20,333,525000,104932,26332,0.0129967681785866,333,72,525000,485625,13.3305320903684,TRUE,NA
"Beta left-high",5,403123,20,800,525000,104932,26332,0.0237627107060285,800,154,525000,545454.545454545,9.28543116007485,TRUE,NA
"Beta left-high",5,403123,21,333,525000,110942,26013,0.0125695969539717,333,66,525000,529772.727272727,13.7959903029324,TRUE,NA
"Beta left-high",5,403123,21,800,525000,110942,26013,0.0230982849586377,800,166,525000,506024.096385542,9.02912679880207,TRUE,NA
"Beta left-high",5,403123,22,333,525000,104802,26154,0.0133619248163692,333,67,525000,521865.671641791,13.7137860660992,TRUE,NA
"Beta left-high",5,403123,22,800,525000,104802,26154,0.0239486945959227,800,165,525000,509090.909090909,9.04932193589579,TRUE,NA
"Beta left-high",5,403123,23,333,525000,105542,26324,0.0128730444142358,333,64,525000,546328.125,13.9665384732028,TRUE,NA
"Beta left-high",5,403123,23,800,525000,105542,26324,0.0230443621689838,800,158,525000,531645.569620253,9.19648335691042,TRUE,NA
"Beta left-high",5,403123,24,333,525000,103370,26421,0.0123120079984591,333,51,525000,685588.235294118,15.3262072378003,TRUE,NA
"Beta left-high",5,403123,24,800,525000,103370,26421,0.0229643606815973,800,126,525000,666666.666666667,10.0324097931904,TRUE,NA
"Beta left-high",5,403123,25,333,525000,101485,26238,0.013034973633197,333,71,525000,492464.788732394,13.4037034936613,TRUE,NA
"Beta left-high",5,403123,25,800,525000,101485,26238,0.0240596237246968,800,149,525000,563758.389261745,9.4020349315005,TRUE,NA
"Beta left-high",5,403123,26,333,525000,108003,26148,0.0119336622620659,333,49,525000,713571.428571429,15.5851156420642,TRUE,NA
"Beta left-high",5,403123,26,800,525000,108003,26148,0.0219960656366796,800,125,525000,672000,10.064003522129,TRUE,NA
"Beta left-high",5,403123,27,333,525000,106677,26203,0.0121918615419058,333,76,525000,460065.789473684,13.0534724993725,TRUE,NA
"Beta left-high",5,403123,27,800,525000,106677,26203,0.0234284421109555,800,164,525000,512195.12195122,9.06971756172824,TRUE,NA
"Beta left-high",5,403123,28,333,525000,105257,26046,0.0137316244247613,333,80,525000,437062.5,12.7989920276346,TRUE,NA
"Beta left-high",5,403123,28,800,525000,105257,26046,0.0243260770137833,800,180,525000,466666.666666667,8.76582696891626,TRUE,NA
"Beta left-high",5,403123,29,333,525000,105933,26073,0.0124728262791221,333,63,525000,555000,14.0550473372953,TRUE,NA
"Beta left-high",5,403123,29,800,525000,105933,26073,0.0230686251476282,800,150,525000,560000,9.37821057345647,TRUE,NA
