"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta right-high",10,304123,1,333,1050000,96496,52942,0.305185174081504,333,19,1050000,1840263.15789474,23.7724627751762,TRUE,NA
"Beta right-high",10,304123,1,800,1050000,96496,52942,0.365464734634811,800,60,1050000,1400000,13.7095161679795,TRUE,NA
"Beta right-high",10,304123,2,333,1050000,108644,52646,0.313999740437707,333,33,1050000,1059545.45454545,18.489037291156,TRUE,NA
"Beta right-high",10,304123,2,800,1050000,108644,52646,0.373232618573192,800,81,1050000,1037037.03703704,12.030833596093,TRUE,NA
"Beta right-high",10,304123,3,333,1050000,101235,52622,0.303573484550671,333,43,1050000,813139.534883721,16.4733826659353,TRUE,NA
"Beta right-high",10,304123,3,800,1050000,101235,52622,0.366495230990556,800,86,1050000,976744.186046512,11.7287355098862,TRUE,NA
"Beta right-high",10,304123,4,333,1050000,105357,52669,0.306197433551548,333,30,1050000,1165500,19.2911256866153,TRUE,NA
"Beta right-high",10,304123,4,800,1050000,105357,52669,0.368424022470532,800,74,1050000,1135135.13513514,12.5067702476922,TRUE,NA
"Beta right-high",10,304123,5,333,1050000,106036,52373,0.304230243103786,333,37,1050000,945000,17.5807982524607,TRUE,NA
"Beta right-high",10,304123,5,800,1050000,106036,52373,0.367453854325237,800,77,1050000,1090909.09090909,12.2944823707041,TRUE,NA
"Beta right-high",10,304123,6,333,1050000,105649,52221,0.30480030997896,333,29,1050000,1205689.65517241,19.5867757206323,TRUE,NA
"Beta right-high",10,304123,6,800,1050000,105649,52221,0.368567477863626,800,74,1050000,1135135.13513514,12.5067702476922,TRUE,NA
"Beta right-high",10,304123,7,333,1050000,106038,52339,0.309196713440316,333,36,1050000,971250,17.793031633233,TRUE,NA
"Beta right-high",10,304123,7,800,1050000,106038,52339,0.369047796490879,800,90,1050000,933333.333333333,11.5063147012645,TRUE,NA
"Beta right-high",10,304123,8,333,1050000,103721,52710,0.30304600456123,333,26,1050000,1344807.69230769,20.5774046356395,TRUE,NA
