"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"CSR",2,102123,1,333,210000,101469,10328,0.0330252822022885,333,164,210000,213201.219512195,9.98948480551183,TRUE,NA
"CSR",2,102123,1,800,210000,101469,10328,0.0748827010393143,800,348,210000,241379.310344828,7.07246767948303,TRUE,NA
"CSR",2,102123,2,333,210000,103477,10369,0.030509484698996,333,174,210000,200948.275862069,9.8125155434919,TRUE,NA
"CSR",2,102123,2,800,210000,103477,10369,0.0725746860262007,800,406,210000,206896.551724138,6.77603931255901,TRUE,NA
"CSR",2,102123,3,333,210000,102201,10500,0.0367490688804537,333,186,210000,187983.870967742,9.62172738044833,TRUE,NA
"CSR",2,102123,3,800,210000,102201,10500,0.0838492189068347,800,412,210000,203883.495145631,6.74951935722968,TRUE,NA
"CSR",2,102123,4,333,210000,105136,10423,0.0295944304671139,333,146,210000,239486.301369863,10.3589259872047,TRUE,NA
"CSR",2,102123,4,800,210000,105136,10423,0.0760005470365286,800,373,210000,225201.072386059,6.93497068255915,TRUE,NA
"CSR",2,102123,5,333,210000,106461,10272,0.032875073608011,333,189,210000,185000,9.57727778826045,TRUE,NA
"CSR",2,102123,5,800,210000,106461,10272,0.0791071327403188,800,442,210000,190045.248868778,6.62635656168337,TRUE,NA
"CSR",2,102123,6,333,210000,102023,10437,0.0306003419682384,333,153,210000,228529.411764706,10.2065505459796,TRUE,NA
"CSR",2,102123,6,800,210000,102023,10437,0.0732516886200756,800,371,210000,226415.094339623,6.94538298375246,TRUE,NA
"CSR",2,102123,7,333,210000,106286,10640,0.032442505704239,333,191,210000,183062.827225131,9.54830968631948,TRUE,NA
"CSR",2,102123,7,800,210000,106286,10640,0.0752366026863456,800,436,210000,192660.550458716,6.64980802053246,TRUE,NA
"CSR",2,102123,8,333,210000,105839,10491,0.032317231874913,333,160,210000,218531.25,10.0654953640372,TRUE,NA
"CSR",2,102123,8,800,210000,105839,10491,0.0735714996699244,800,396,210000,212121.212121212,6.82178071664205,TRUE,NA
"CSR",2,102123,9,333,210000,95145,10559,0.031371594639495,333,153,210000,228529.411764706,10.2065505459796,TRUE,NA
"CSR",2,102123,9,800,210000,95145,10559,0.0766239813528955,800,345,210000,243478.260869565,7.09011101040039,TRUE,NA
"CSR",2,102123,10,333,210000,100211,10684,0.0337135219015181,333,163,210000,214509.202453988,10.0081911539992,TRUE,NA
"CSR",2,102123,10,800,210000,100211,10684,0.0758054093457758,800,391,210000,214833.759590793,6.84540827589973,TRUE,NA
"CSR",2,102123,11,333,210000,106492,10772,0.0322992894798517,333,184,210000,190027.173913043,9.65204760713552,TRUE,NA
"CSR",2,102123,11,800,210000,106492,10772,0.076694309245795,800,416,210000,201923.076923077,6.73220828791605,TRUE,NA
"CSR",2,102123,12,333,210000,104231,10614,0.0350875940639526,333,173,210000,202109.826589595,9.82942852517615,TRUE,NA
"CSR",2,102123,12,800,210000,104231,10614,0.0762457065284252,800,386,210000,217616.580310881,6.86956349739337,TRUE,NA
"CSR",2,102123,13,333,210000,106152,10418,0.0314251640811563,333,159,210000,219905.660377358,10.0850026615991,TRUE,NA
"CSR",2,102123,13,800,210000,106152,10418,0.0724238601978868,800,359,210000,233983.286908078,7.00994437187391,TRUE,NA
"CSR",2,102123,14,333,210000,108846,10371,0.0306934549007565,333,152,210000,230032.894736842,10.2275935883112,TRUE,NA
"CSR",2,102123,14,800,210000,108846,10371,0.0744436688255519,800,371,210000,226415.094339623,6.94538298375246,TRUE,NA
"CSR",2,102123,15,333,210000,103710,10469,0.0299355068709701,333,152,210000,230032.894736842,10.2275935883112,TRUE,NA
"CSR",2,102123,15,800,210000,103710,10469,0.0777020005043596,800,410,210000,204878.048780488,6.75828460453265,TRUE,NA
"CSR",2,102123,16,333,210000,106122,10375,0.0321577107533813,333,173,210000,202109.826589595,9.82942852517615,TRUE,NA
"CSR",2,102123,16,800,210000,106122,10375,0.0795988563913852,800,406,210000,206896.551724138,6.77603931255901,TRUE,NA
"CSR",2,102123,17,333,210000,107657,10511,0.0318132569082081,333,168,210000,208125,9.91655214513914,TRUE,NA
"CSR",2,102123,17,800,210000,107657,10511,0.0769053921103477,800,421,210000,199524.940617577,6.71097131677406,TRUE,NA
"CSR",2,102123,18,333,210000,99175,10583,0.0323603474535048,333,196,210000,178392.857142857,9.47811189460851,TRUE,NA
"CSR",2,102123,18,800,210000,99175,10583,0.0763797468971461,800,412,210000,203883.495145631,6.74951935722968,TRUE,NA
"CSR",2,102123,19,333,210000,104279,10616,0.0292355914134532,333,158,210000,221297.46835443,10.1047185098824,TRUE,NA
"CSR",2,102123,19,800,210000,104279,10616,0.0735055571421981,800,419,210000,200477.326968974,6.71941331829732,TRUE,NA
"CSR",2,102123,20,333,210000,103202,10480,0.0345761936623603,333,185,210000,189000,9.6368174714222,TRUE,NA
"CSR",2,102123,20,800,210000,103202,10480,0.08104178449139,800,402,210000,208955.223880597,6.79409955652486,TRUE,NA
"CSR",2,102123,21,333,210000,104596,10482,0.0358228539116681,333,217,210000,161129.032258065,9.21396474012191,TRUE,NA
"CSR",2,102123,21,800,210000,104596,10482,0.0800803992897272,800,414,210000,202898.550724638,6.74082756532198,TRUE,NA
"CSR",2,102123,22,333,210000,100668,10559,0.031808118801564,333,150,210000,233100,10.2703877039828,TRUE,NA
"CSR",2,102123,22,800,210000,100668,10559,0.0755620934069157,800,368,210000,228260.869565217,6.96118380283859,TRUE,NA
"CSR",2,102123,23,333,210000,104719,10647,0.0298158030491322,333,164,210000,213201.219512195,9.98948480551183,TRUE,NA
"CSR",2,102123,23,800,210000,104719,10647,0.0736135768238455,800,425,210000,197647.058823529,6.69429448546521,TRUE,NA
"CSR",2,102123,24,333,210000,102147,10283,0.0320983061101288,333,166,210000,210632.530120482,9.95264591849202,TRUE,NA
"CSR",2,102123,24,800,210000,102147,10283,0.0745781292207539,800,394,210000,213197.969543147,6.83116955969639,TRUE,NA
"CSR",2,102123,25,333,210000,107026,10554,0.0311312219128013,333,177,210000,197542.372881356,9.76275432778563,TRUE,NA
"CSR",2,102123,25,800,210000,107026,10554,0.0723273728508502,800,378,210000,222222.222222222,6.90935549443293,TRUE,NA
"CSR",2,102123,26,333,210000,105958,10431,0.0312783617991954,333,167,210000,209371.25748503,9.93450735791223,TRUE,NA
"CSR",2,102123,26,800,210000,105958,10431,0.0798235000111163,800,428,210000,196261.682242991,6.68196474659456,TRUE,NA
"CSR",2,102123,27,333,210000,100769,10519,0.0342005512211472,333,173,210000,202109.826589595,9.82942852517615,TRUE,NA
"CSR",2,102123,27,800,210000,100769,10519,0.0827054511755705,800,431,210000,194895.591647332,6.66978433248901,TRUE,NA
"CSR",2,102123,28,333,210000,106107,10673,0.030697455862537,333,161,210000,217173.913043478,10.0461932176168,TRUE,NA
"CSR",2,102123,28,800,210000,106107,10673,0.0712874776218086,800,406,210000,206896.551724138,6.77603931255901,TRUE,NA
"CSR",2,102123,29,333,210000,102466,10554,0.0306243060622364,333,171,210000,204473.684210526,9.86375836520729,TRUE,NA
"CSR",2,102123,29,800,210000,102466,10554,0.0788810520898551,800,435,210000,193103.448275862,6.65377130960709,TRUE,NA
"CSR",2,102123,30,333,210000,109948,10360,0.0320809849072248,333,189,210000,185000,9.57727778826045,TRUE,NA
"CSR",2,102123,30,800,210000,109948,10360,0.077053303597495,800,410,210000,204878.048780488,6.75828460453265,TRUE,NA
"CSR",2,102123,31,333,210000,104261,10634,0.0311221121810377,333,165,210000,211909.090909091,9.97097074158352,TRUE,NA
"CSR",2,102123,31,800,210000,104261,10634,0.07506991061382,800,407,210000,206388.206388206,6.77157230364179,TRUE,NA
"CSR",2,102123,32,333,210000,108954,10435,0.036061730934307,333,218,210000,160389.908256881,9.20248643337667,TRUE,NA
"CSR",2,102123,32,800,210000,108954,10435,0.0838192058727145,800,456,210000,184210.526315789,6.57373496992597,TRUE,NA
"CSR",2,102123,33,333,210000,101647,10344,0.0330965279135853,333,180,210000,194250,9.71440952806755,TRUE,NA
"CSR",2,102123,33,800,210000,101647,10344,0.0795002488885075,800,427,210000,196721.31147541,6.68605792978917,TRUE,NA
"CSR",2,102123,34,333,210000,97984,10522,0.0307318705599755,333,134,210000,260932.835820896,10.6508714476843,TRUE,NA
"CSR",2,102123,34,800,210000,97984,10522,0.0716035729274154,800,351,210000,239316.239316239,7.05508294660329,TRUE,NA
"CSR",2,102123,35,333,210000,102456,10487,0.0295187949668616,333,159,210000,219905.660377358,10.0850026615991,TRUE,NA
"CSR",2,102123,35,800,210000,102456,10487,0.071431816322729,800,371,210000,226415.094339623,6.94538298375246,TRUE,NA
"CSR",2,102123,36,333,210000,104774,10506,0.0304494276642799,333,171,210000,204473.684210526,9.86375836520729,TRUE,NA
"CSR",2,102123,36,800,210000,104774,10506,0.0731189323123544,800,374,210000,224598.930481283,6.92980048831585,TRUE,NA
"CSR",2,102123,37,333,210000,105132,10386,0.0324067685287446,333,172,210000,203284.88372093,9.84650861001883,TRUE,NA
"CSR",2,102123,37,800,210000,105132,10386,0.0739984333049506,800,390,210000,215384.615384615,6.85019653254194,TRUE,NA
"CSR",2,102123,38,333,210000,104832,10371,0.0352913036476821,333,178,210000,196432.584269663,9.74648512051155,TRUE,NA
"CSR",2,102123,38,800,210000,104832,10371,0.080412620678544,800,428,210000,196261.682242991,6.68196474659456,TRUE,NA
"CSR",2,102123,39,333,210000,106736,10651,0.030260280938819,333,168,210000,208125,9.91655214513914,TRUE,NA
