"scenario","ratio_value","x_stop","m_eff","success_rate","mean_n","mean_sigma","sigma_exact","signed_gap","relative_gap","abs_rel_bias_jensen"
"CSR",1,333,400,1,332.6425,8.30999208019385,8.43765442451054,-0.127662344316688,0.0151300750058976,0.0010747273724795
"CSR",2,333,400,1,168,9.94225266638873,10.1320230552307,-0.189770388842017,0.018729762832907,0.00892857142857143
"CSR",5,333,400,1,66.27,13.863780472946,15.1637714726314,-1.29999099968545,0.0857300574617442,0.00497962879130838
"CSR",10,333,400,1,33.635,18.5506438607074,20.1150161263256,-1.56437226561826,0.0777713652225651,0.00995986323769881
"Beta centre-high",1,333,400,1,332.9375,8.3102927664539,9.06035407361002,-0.75006130715612,0.0827849884300674,0.000187722920968718
"Beta centre-high",2,333,400,1,164.905,9.99588157180747,9.9710274100177,0.0248541617897651,0.00249263799684219,0.0096722355295473
"Beta centre-high",5,333,400,1,66.745,13.8229653718781,14.7022287519924,-0.879263380114287,0.0598047680352635,0.00217244737433525
"Beta centre-high",10,333,400,1,33.4225,18.620974994916,20.9463441251515,-2.32536913023558,0.1110155126041,0.00366519560176524
"Beta right-high",1,333,400,1,331.79,8.31691957438195,9.2549001088466,-0.93798053446465,0.101349611928069,0.0036468850779106
"Beta right-high",2,333,400,1,166.02,9.97862238395736,10.3289941519923,-0.35037176803497,0.0339211895058908,0.00289121792555102
"Beta right-high",5,333,400,1,66.51,13.8452054856616,15.1107143746347,-1.26550888897311,0.0837491105713324,0.00135317997293635
"Beta right-high",10,333,400,1,33.5475,18.5725741527173,20.5150690824091,-1.94249492969189,0.0946862485273084,0.00737759892689463
"Beta left-high",1,333,400,1,331.715,8.31428142207772,8.01609304074155,0.298188381336177,0.0371987176072737,0.00387380733460956
"Beta left-high",2,333,400,1,168.31,9.9357092074207,9.86835867241105,0.0673505350096466,0.00682489735582254,0.0107539658962628
"Beta left-high",5,333,400,1,66.755,13.8191233803499,14.7461527772131,-0.927029396863228,0.0628658478498706,0.00232192345142675
"Beta left-high",10,333,400,1,32.8,18.7729644926818,21.5933862156406,-2.82042172295878,0.130615073281832,0.0152439024390245
"CSR",1,800,400,1,798.6325,5.81723777532762,5.54772138358581,0.26951639174181,0.0485814577024786,0.00171230196617336
"CSR",2,800,400,1,401.4875,6.80371474067165,6.80153083397882,0.0021839066928262,0.000321090464210781,0.00370497213487341
"CSR",5,800,400,1,158.7575,9.20530266523305,9.99079770444417,-0.785495039211119,0.0786218540749464,0.00782640190227245
"CSR",10,800,400,1,80.5725,12.1223996073812,13.2237196244125,-1.10132001703126,0.0832836787463419,0.00710540196717251
"Beta centre-high",1,800,400,1,798.555,5.81778544353079,6.00708319027018,-0.189297746739392,0.031512423041852,0.00180951844268711
"Beta centre-high",2,800,400,1,398.6575,6.81572892571507,6.4042068773568,0.411522048358266,0.0642580816390042,0.00336755234756648
"Beta centre-high",5,800,400,1,159.1025,9.19593723907319,9.53199841481084,-0.336061175737658,0.0352561090668548,0.00564101758300482
"Beta centre-high",10,800,400,1,80.09,12.1514256571483,12.8279546847092,-0.676529027560917,0.0527386511871089,0.00112373579722807
"Beta right-high",1,800,400,1,795.7025,5.82176494804078,6.16589598803678,-0.344131039996003,0.0558120086137836,0.00540088789465912
"Beta right-high",2,800,400,1,401.3225,6.80441824057242,6.75484863595099,0.0495696046214329,0.00733837385453926,0.00329535473341266
"Beta right-high",5,800,400,1,159.9425,9.18051667966646,9.9216118385709,-0.741095158904443,0.0746950365487378,0.000359504196820781
"Beta right-high",10,800,400,1,80.035,12.1509505716885,12.5134085390752,-0.362457967386666,0.0289655665164956,0.000437308677453548
"Beta left-high",1,800,400,1,799.8725,5.81582413117187,5.83416601151462,-0.0183418803427484,0.00314387357276908,0.000159400404439518
"Beta left-high",2,800,400,1,402.525,6.79934875769224,6.95340468243038,-0.154055924738137,0.0221554665338838,0.00627290230420462
"Beta left-high",5,800,400,1,160.3525,9.17049740196759,9.52825901082648,-0.357761608858883,0.0375474269173809,0.00219828191016657
"Beta left-high",10,800,400,1,79.68,12.176906637706,12.8813979998446,-0.704491362138581,0.0546905981902805,0.00401606425702794
