"scenario","ratio_value","x_stop","n_target_total","c_true","m_planned","m_eff","success_rate","failed_stop","zero_marker","mean_marker_total_actual","mean_target_band","mean_x_end","mean_n","mean_c_hat","c_jensen","rel_bias_raw","rel_bias_jensen","abs_rel_bias_jensen","mean_sigma","sigma_exact","signed_gap","absolute_gap","relative_gap","mc_se_mean_sigma"
"CSR",1,333,105000,105000,400,400,1,0,0,104800.785,5241.8925,0.063367541100597,332.6425,105819.759611024,105112.84637411,0.00780723439070418,0.0010747273724795,0.0010747273724795,8.30999208019385,8.43765442451054,-0.127662344316688,0.127662344316688,0.0151300750058976,0.00754436565541014
"CSR",2,333,210000,210000,400,400,1,0,0,105082.2725,10503.2825,0.0316023313236656,168,210233.073958934,208125,0.00110987599492378,-0.00892857142857143,0.00892857142857143,9.94225266638873,10.1320230552307,-0.189770388842017,0.189770388842017,0.018729762832907,0.0152282648523335
"CSR",5,333,525000,525000,400,400,1,0,0,104616.55,26259.7175,0.0126853666099487,66.27,538558.669712464,527614.305115437,0.0258260375475504,0.00497962879130838,0.00497962879130838,13.863780472946,15.1637714726314,-1.29999099968545,1.29999099968545,0.0857300574617442,0.0399787376795888
"CSR",10,333,1050000,1050000,400,400,1,0,0,104843.5975,52509.31,0.00636049300897867,33.635,1076069.41178147,1039542.14360042,0.0248280112204432,-0.00995986323769881,0.00995986323769881,18.5506438607074,20.1150161263256,-1.56437226561826,1.56437226561826,0.0777713652225651,0.0782638811554529
"Beta centre-high",1,333,105000,105000,400,400,1,0,0,104941.2575,1422.9375,0.369833137833745,332.9375,105849.953007031,105019.710906702,0.00809479054315584,0.000187722920968718,0.000187722920968718,8.3102927664539,9.06035407361002,-0.75006130715612,0.75006130715612,0.0827849884300674,0.00812618102552564
"Beta centre-high",2,333,210000,210000,400,400,1,0,0,105116.0925,2842.0925,0.292763245323255,164.905,213946.358423176,212031.169461205,0.0187921829675039,0.0096722355295473,0.0096722355295473,9.99588157180747,9.9710274100177,0.0248541617897651,0.0248541617897651,0.00249263799684219,0.0146186463483244
"Beta centre-high",5,333,525000,525000,400,400,1,0,0,104973.845,7106.0475,0.220947779918987,66.745,534532.829163076,523859.465128474,0.0181577698344305,-0.00217244737433525,0.00217244737433525,13.8229653718781,14.7022287519924,-0.879263380114287,0.879263380114287,0.0598047680352635,0.0393036909404189
"Beta centre-high",10,333,1050000,1050000,400,400,1,0,0,104900.46,14218.0075,0.18067659787862,33.4225,1085854.94193961,1046151.54461815,0.0341475637520118,-0.00366519560176524,0.00366519560176524,18.620974994916,20.9463441251515,-2.32536913023558,2.32536913023558,0.1110155126041,0.0811618499914772
"Beta right-high",1,333,105000,105000,400,400,1,0,0,105080.08,5254.265,0.497616327963506,331.79,106238.233807691,105382.922933181,0.0117927029303881,0.0036468850779106,0.0036468850779106,8.31691957438195,9.2549001088466,-0.93798053446465,0.93798053446465,0.101349611928069,0.00825820316425275
"Beta right-high",2,333,210000,210000,400,400,1,0,0,104904.365,10500.535,0.429481742686516,166.02,212772.716350452,210607.155764366,0.0132034111926302,0.00289121792555102,0.00289121792555102,9.97862238395736,10.3289941519923,-0.35037176803497,0.35037176803497,0.0339211895058908,0.0153774540496224
"Beta right-high",5,333,525000,525000,400,400,1,0,0,104903.5675,26237.09,0.354465087696547,66.51,536769.753241147,525710.419485792,0.022418577602185,0.00135317997293635,0.00135317997293635,13.8452054856616,15.1107143746347,-1.26550888897311,1.26550888897311,0.0837491105713324,0.0400746460929519
"Beta right-high",10,333,1050000,1050000,400,400,1,0,0,105155.64,52538.605,0.306928796718549,33.5475,1079044.67564495,1042253.52112676,0.027661595852334,-0.00737759892689463,0.00737759892689463,18.5725741527173,20.5150690824091,-1.94249492969189,1.94249492969189,0.0946862485273084,0.0788509603740927
"Beta left-high",1,333,105000,105000,400,400,1,0,0,105016,5246.54,0.0390876074042143,331.715,106061.478410281,105406.749770134,0.0101093181931543,0.00387380733460956,0.00387380733460956,8.31428142207772,8.01609304074155,0.298188381336177,0.298188381336177,0.0371987176072737,0.00717390790565479
"Beta left-high",2,333,210000,210000,400,400,1,0,0,104937.7625,10505.21,0.0240326203005939,168.31,209762.745774586,207741.667161785,-0.00112978202578185,-0.0107539658962628,0.0107539658962628,9.9357092074207,9.86835867241105,0.0673505350096466,0.0673505350096466,0.00682489735582254,0.0148581220682363
"Beta left-high",5,333,525000,525000,400,400,1,0,0,105009.24,26251.8375,0.0128132549299472,66.755,534139.610177837,523780.990188001,0.0174087812911189,-0.00232192345142675,0.00232192345142675,13.8191233803499,14.7461527772131,-0.927029396863228,0.927029396863228,0.0628658478498706,0.0391035895981092
"Beta left-high",10,333,1050000,1050000,400,400,1,0,0,105090.755,52493.845,0.00798707873608345,32.8,1105777.07114044,1066006.09756098,0.053121020133755,0.0152439024390245,0.0152439024390245,18.7729644926818,21.5933862156406,-2.82042172295878,2.82042172295878,0.130615073281832,0.0813815494334587
"CSR",1,800,105000,105000,400,400,1,0,0,104800.785,5241.8925,0.152340122510213,798.6325,105500.698021098,105179.791706448,0.00476855258188942,0.00171230196617336,0.00171230196617336,5.81723777532762,5.54772138358581,0.26951639174181,0.26951639174181,0.0485814577024786,0.00296954719172404
"CSR",2,800,210000,210000,400,400,1,0,0,105082.2725,10503.2825,0.0760301142645767,401.4875,210183.880889614,209221.955851677,0.00087562328387451,-0.00370497213487341,0.00370497213487341,6.80371474067165,6.80153083397882,0.0021839066928262,0.0021839066928262,0.000321090464210781,0.00623740898914789
"CSR",5,800,525000,525000,400,400,1,0,0,104616.55,26259.7175,0.0304916613450041,158.7575,533928.563979608,529108.860998693,0.0170067885325862,0.00782640190227245,0.00782640190227245,9.20530266523305,9.99079770444417,-0.785495039211119,0.785495039211119,0.0786218540749464,0.0165656602088565
"CSR",10,800,1050000,1050000,400,400,1,0,0,104843.5975,52509.31,0.0152716167346807,80.5725,1059339.88669396,1042539.32793447,0.00889513018472675,-0.00710540196717251,0.00710540196717251,12.1223996073812,13.2237196244125,-1.10132001703126,1.10132001703126,0.0832836787463419,0.033339069386623
"Beta centre-high",1,800,105000,105000,400,400,1,0,0,104941.2575,1422.9375,0.528590799117422,798.555,105559.182257497,105189.999436482,0.00532554530949274,0.00180951844268711,0.00180951844268711,5.81778544353079,6.00708319027018,-0.189297746739392,0.189297746739392,0.031512423041852,0.00320898754867935
"Beta centre-high",2,800,210000,210000,400,400,1,0,0,105116.0925,2842.0925,0.395548418991865,398.6575,211541.583993215,210707.185992989,0.00734087615816582,0.00336755234756648,0.00336755234756648,6.81572892571507,6.4042068773568,0.411522048358266,0.411522048358266,0.0642580816390042,0.00582278140848987
