"scenario","ratio_value","n_repetitions","elapsed_seconds","output_file"
"CSR",1,400,1.44039607048035,"outputs/full_R400/raw_settings/csr_ratio_1.rds"
"Beta centre-high",1,400,8.99460101127625,"outputs/full_R400/raw_settings/beta_centre_high_ratio_1.rds"
"Beta right-high",1,400,5.47376799583435,"outputs/full_R400/raw_settings/beta_right_high_ratio_1.rds"
"Beta left-high",1,400,5.43170714378357,"outputs/full_R400/raw_settings/beta_left_high_ratio_1.rds"
"CSR",2,400,1.95025610923767,"outputs/full_R400/raw_settings/csr_ratio_2.rds"
"Beta centre-high",2,400,13.6061260700226,"outputs/full_R400/raw_settings/beta_centre_high_ratio_2.rds"
"Beta right-high",2,400,8.00759315490723,"outputs/full_R400/raw_settings/beta_right_high_ratio_2.rds"
"Beta left-high",2,400,8.06174683570862,"outputs/full_R400/raw_settings/beta_left_high_ratio_2.rds"
"CSR",5,400,3.54794502258301,"outputs/full_R400/raw_settings/csr_ratio_5.rds"
"Beta centre-high",5,400,27.3609828948975,"outputs/full_R400/raw_settings/beta_centre_high_ratio_5.rds"
"Beta right-high",5,400,15.9598960876465,"outputs/full_R400/raw_settings/beta_right_high_ratio_5.rds"
"Beta left-high",5,400,15.9957211017609,"outputs/full_R400/raw_settings/beta_left_high_ratio_5.rds"
"CSR",10,400,6.03935980796814,"outputs/full_R400/raw_settings/csr_ratio_10.rds"
"Beta centre-high",10,400,49.8551218509674,"outputs/full_R400/raw_settings/beta_centre_high_ratio_10.rds"
"Beta right-high",10,400,28.9356501102448,"outputs/full_R400/raw_settings/beta_right_high_ratio_10.rds"
"Beta left-high",10,400,28.9860608577728,"outputs/full_R400/raw_settings/beta_left_high_ratio_10.rds"
